time/fps,train/actor_loss,time/time_elapsed,time/total_timesteps,train/rewards,train/n_updates,train/learning_rate,time/episodes,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean
56,0.4660276688781439,4056,228072,-0.08548186,328032,0.001,2236,102.0,0.002085830391996412,-7.8360397299999995
56,0.45667284610224707,4063,228480,-0.067845166,328440,0.001,2240,102.0,0.0012098021376432905,-7.8404160900000015
56,0.4469243083514419,4070,228888,-0.11179596,328848,0.001,2244,102.0,0.0016848762664035438,-7.815141239999999
56,0.4571630192153594,4077,229296,-0.076000325,329256,0.001,2248,102.0,0.001487693102663958,-7.83598765
56,0.45670227268162894,4084,229704,-0.053155974,329664,0.001,2252,102.0,0.0012925072867302316,-7.83020531
56,0.449444459641681,4091,230112,-0.1101506,330072,0.001,2256,102.0,0.0015589958961308916,-7.86349497
56,0.4500341979311962,4099,230520,-0.08939681,330480,0.001,2260,102.0,0.0013003196653181815,-7.9006089799999994
56,0.45595929260347406,4106,230928,-0.0691076,330888,0.001,2264,102.0,0.002342286185012199,-7.896887619999998
56,0.42812033815711154,4113,231336,-0.059980888,331296,0.001,2268,102.0,0.001548713345055505,-7.90106353
56,0.45717670461710763,4120,231744,-0.093425855,331704,0.001,2272,102.0,0.001226217374970278,-7.918857770000001
56,0.44205890128425523,4127,232152,-0.081376046,332112,0.001,2276,102.0,0.001674570221118355,-7.91314235
56,0.4321360190709432,4134,232560,-0.0850839,332520,0.001,2280,102.0,0.0013904841197312206,-7.9220460500000005
56,0.45822792164250914,4142,232968,-0.09525777,332928,0.001,2284,102.0,0.0013867230177400452,-7.91033806
56,0.43596665064493817,4149,233376,-0.074298285,333336,0.001,2288,102.0,0.0020455194511062777,-7.916349370000001
56,0.4394618971090691,4156,233784,-0.120574534,333744,0.001,2292,102.0,0.0014592853070045,-7.933726340000001
56,0.4383652344638226,4163,234192,-0.059763897,334152,0.001,2296,102.0,0.001227413162340264,-7.91451255
56,0.43301554316399143,4170,234600,-0.094881944,334560,0.001,2300,102.0,0.00151697259385472,-7.9117828800000005
56,0.47186416329122055,4178,235008,-0.06309095,334968,0.001,2304,102.0,0.0017178154007791925,-7.89849187
